,year,word_type,word,word_freq
130,2021,noun,home,1
131,2021,noun,search,1
132,2021,noun,minute,1
133,2021,noun,door,1
134,2021,noun,youth,1
135,2021,noun,message,1
136,2021,noun,inclusion,1
137,2021,noun,foundation,1
138,2021,noun,voices,1
139,2021,noun,proposals,1
140,2021,noun,engagement,1
141,2021,noun,observers,1
142,2021,noun,stakeholders,1
143,2021,noun,ideas,1
144,2021,noun,discussions,1
145,2021,noun,emergency,1
146,2021,noun,solution,1
147,2021,noun,scope,1
148,2021,noun,speed,1
149,2021,noun,past,1
151,2021,noun,species,1
152,2021,noun,ingenuity,1
153,2021,noun,centuries,1
155,2021,noun,technology,1
156,2021,noun,innovation,1
157,2021,noun,division,1
158,2021,noun,damage,1
159,2021,noun,lessons,1
160,2021,noun,prosperity,1
161,2021,noun,term,1
162,2021,noun,gain,1
163,2021,noun,relationships,1
164,2021,noun,nature,1
165,2021,noun,biodiversity,1
166,2021,noun,starting,1
167,2021,noun,beginning,1
168,2021,noun,grasp,1
169,2021,noun,completion,1
170,2021,noun,weeks,1
171,2021,noun,picture,1
172,2021,noun,mind,1
173,2021,noun,agenda,1
174,2021,noun,item,1
175,2021,noun,trust,1
176,2021,noun,billions,1
177,2021,noun,challenge,1
178,2021,noun,times,1
179,2021,noun,generations,1
45,2019,verb,climate,7
5,2019,verb,region,5
47,2019,verb,year,5
23,2019,verb,path,4
75,2019,verb,implementation,4
78,2019,verb,work,4
14,2019,verb,ministers,3
21,2019,verb,hope,3
62,2019,verb,window,3
63,2019,verb,opportunity,3
77,2019,verb,ambition,3
84,2019,verb,transparency,3
105,2019,verb,action,3
107,2019,verb,article,3
3,2019,verb,governments,2
7,2019,verb,leadership,2
15,2019,verb,week,2
16,2019,verb,schedule,2
17,2019,verb,level,2
18,2019,verb,humanity,2
27,2019,verb,nations,2
44,2019,verb,world,2
46,2019,verb,emergency,2
48,2019,verb,reports,2
49,2019,verb,elements,2
50,2019,verb,planet,2
59,2019,verb,future,2
64,2019,verb,message,2
66,2019,verb,time,2
76,2019,verb,building,2
90,2019,verb,etf,2
93,2019,verb,progress,2
111,2019,verb,mitigation,2
113,2019,verb,support,2
114,2019,verb,adaptation,2
119,2019,verb,markets,2
0,2019,verb,address,1
1,2019,verb,opening,1
2,2019,verb,delegates,1
4,2019,verb,multilateralism,1
6,2019,verb,spirit,1
8,2019,verb,discussions,1
9,2019,verb,doors,1
10,2019,verb,hearts,1
11,2019,verb,moment,1
12,2019,verb,holiday,1
